Player,Credits,Role,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,TOTAL DREAM 11 POINTS,Dream11_Avg,Fantasy Performance Rating,Overall_Impact_Score
Kamlesh Nagarkoti,6,Bowler,Chennai Super Kings,7,22,33,1,0,5.5,66.66666667,18.18181818,11,180,285,5,57,9.5,36,149,13.54545455,-0.791319306,92.16666667
Jamie Overton,6.5,All-rounder,Chennai Super Kings,8,50,47,3,1,8.33,106.3829787,36,8,136,186,11,16.91,8.21,12.36,343,42.875,0.789137794,287.1414894
Shreyas Gopal,6.5,Bowler,Chennai Super Kings,22,180,169,19,2,12.86,106.5088757,48.88888889,51,991,1348,52,25.92,8.16,19.06,1568,30.74509804,0.135503741,1450.915976
Vansh Bedi,5,Batter/Wicketkeeper,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.521232078,0
C Andre Siddarth,5.5,Batter,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.521232078,0
Axar Patel,9,Bowler,Delhi Capitals,113,1653,1263,107,79,21.47,130.8788599,54.56745312,148,3099,3758,123,30.55,7.28,25.2,5632,38.05405405,0.529355444,5202.027554
Kuldeep Yadav,8.5,Bowler,Delhi Capitals,33,183,216,16,3,15.25,84.72222222,44.80874317,82,1746,2388,87,27.45,8.21,20.07,2440,29.75609756,0.082210285,2288.991667
Tristan Stubbs,8,Batter,Delhi Capitals,17,405,233,26,26,36.82,173.8197425,64.19753086,3,24,29,4,7.25,7.25,6,771,45.35294118,0.922664573,767.7199571
Abishek Porel,6.5,Batter/Wicketkeeper,Delhi Capitals,16,360,236,37,15,25.71,152.5423729,66.11111111,0,0,0,0,0,0,0,608,38,0.526442678,549.1525424
Mitchell Starc,8.5,Bowler,Delhi Capitals,17,105,109,11,0,11.67,96.33027523,41.9047619,39,831,1137,51,22.29,8.21,16.29,1424,36.51282051,0.44630426,1335.096789
KL Rahul,9,Batter/Wicketkeeper,Delhi Capitals,123,4683,3479,400,187,45.47,134.6076459,58.12513346,0,0,0,0,0,0,0,7413,60.26829268,1.726395856,6303.676057
Jake Fraser-Mcgurk,7.5,Batter,Delhi Capitals,9,330,141,32,28,36.67,234.0425532,89.6969697,0,0,0,0,0,0,0,638,70.88888889,2.298699191,772.3404256
